name,version,publisher,install_date,size_formatted,install_location
Adobe Digital Editions 4.5,4.5.11,Adobe Systems Incorporated,,20.94 MB,
Adobe Reader XI (11.0.23)  MUI,11.0.23,Adobe Systems Incorporated,2021-02-28,647.86 MB,C:\Program Files (x86)\Adobe\Reader 11.0\Reader\
Adobe Refresh Manager,1.8.0,Adobe Systems Incorporated,2025-09-06,2.02 MB,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\
Age of Empires II: D.E.,,,2023-09-29,34.90 GB,D:\Games\Age of Empires II - Definitive Edition\
ARMOURY CRATE Service,5.9.9,ASUS,2020-12-27,61.05 MB,
ARX,3.9.0,ARX,2022-11-26,374.87 MB,C:\Program Files\ARX-3.9.0
ASUS Aac_NBDT HAL,2.4.0.0,ASUSTek COMPUTER INC.,2020-12-27,2.53 MB,
ASUS AURA Display Component,1.1.26.0,ASUSTek COMPUTER INC. ,2020-12-27,2.12 MB,
ASUS AURA Headset Component,1.3.7.0,ASUSTek COMPUTER INC.,2020-12-27,41.07 MB,
ASUS Aura SDK,3.04.46,ASUSTek COMPUTER INC.,2024-11-10,6.82 MB,
ASUS Framework Service,3.1.2.4,ASUSTeK Computer Inc.,2022-12-15,Unknown,C:\Program Files (x86)\ASUS\ArmouryDevice
ASUS Keyboard HAL,1.1.17.0,ASUSTek COMPUTER INC.,2020-12-27,6.84 MB,
ASUS MB Peripheral Products,1.0.33,ASUSTeK Computer Inc.,2020-12-27,1.92 MB,
ASUS Mouse HAL,1.1.0.8,ASUSTek COMPUTER INC.,2020-12-27,24.46 MB,
ASUS Update Helper,1.3.107.145,ASUSTeK Computer Inc.,2025-10-30,45 KB,
AURA lighting effect add-on,0.0.44,ASUSTek COMPUTER INC.,2024-11-10,2.46 MB,
AURA lighting effect add-on x64,0.0.44,ASUSTek COMPUTER INC.,2024-11-10,2.47 MB,
AURA Service,3.07.54,ASUSTeK Computer Inc.,2024-11-10,13.54 MB,
Autodesk Fusion 360,2.0.11894,"Autodesk, Inc.",,3.10 GB,
BlueJ,5.2.1,BlueJ Team,2023-12-21,364.27 MB,
Brave,142.1.84.132,Brave Software Inc,2025-10-30,Unknown,C:\Program Files\BraveSoftware\Brave-Browser\Application
Canon LBP2900,,,,Unknown,
Chess - Play & Learn,1.0,Google\Chrome,2024-05-21,Unknown,
Chrome Remote Desktop,1.0,Google\Chrome,2025-11-03,Unknown,
Chrome Remote Desktop Host,142.0.7444.18,Google LLC,2025-11-03,44.45 MB,
Comet,139.1.7258.19069,The Comet Authors,2025-09-09,Unknown,C:\Users\asus\AppData\Local\Perplexity\Comet\Application
Cursor (User),1.5.1,Anysphere,2025-08-21,501.00 MB,C:\Users\asus\AppData\Local\Programs\cursor\
DaVinci Resolve,19.0.30005,Blackmagic Design,2024-11-10,4.50 GB,
DaVinci Resolve Control Panels,2.3.0.0,Blackmagic Design,2024-11-10,509.41 MB,
DB Browser for SQLite,3.12.2,DB Browser for SQLite Team,2023-03-02,43.91 MB,C:\DB Browser for SQLite\
DSB Notification,1.2.1,ASUSTeK COMPUTER INC.,2020-12-27,3.75 MB,
Epic Games Launcher Prerequisites (x64),1.0.0.0,"Epic Games, Inc.",2021-09-10,3.48 MB,
Fairlight Audio Accelerator Utility,1.0.15,Blackmagic Design,2024-11-10,22.50 MB,C:\Program Files\Blackmagic Design\DaVinci Resolve\audio\Fairlight Audio Accelerator\
GameSDK Service,1.0.5.0,ASUSTek COMPUTER INC.,,13.13 MB,
GIMP 3.0.4,3.0.4.0,The GIMP Team,2025-09-04,817.50 MB,C:\Users\asus\AppData\Local\Programs\GIMP 3\
GitHub Desktop,3.4.16,"GitHub, Inc.",2025-02-15,166.02 MB,C:\Users\asus\AppData\Local\GitHubDesktop
GOM Player,2.1.43.5119,Gretech Corporation,,Unknown,C:\Program Files (x86)\GRETECH\GomPlayer
Google Chrome,141.0.7390.123,Google LLC,2025-10-24,Unknown,C:\Program Files\Google\Chrome\Application
